逻辑地址：16916, 物理地址：20, 值：0
逻辑地址：11846, 物理地址：59718, 值：11
逻辑地址：49127, 物理地址：50663, 值：-7
逻辑地址：19900, 物理地址：36540, 值：0
逻辑地址：20554, 物理地址：56906, 值：20
逻辑地址：19219, 物理地址：14099, 值：-60
逻辑地址：51483, 物理地址：15899, 值：70
逻辑地址：58090, 物理地址：3306, 值：56
逻辑地址：39074, 物理地址：4002, 值：38
逻辑地址：16060, 物理地址：21180, 值：0
逻辑地址：10447, 物理地址：14799, 值：51
逻辑地址：54169, 物理地址：51865, 值：0
逻辑地址：20634, 物理地址：56986, 值：20
逻辑地址：57555, 物理地址：38099, 值：52
逻辑地址：61210, 物理地址：42266, 值：59
逻辑地址：269, 物理地址：57101, 值：0
逻辑地址：33154, 物理地址：53634, 值：32
逻辑地址：64487, 物理地址：5095, 值：-7
逻辑地址：61223, 物理地址：42279, 值：-55
逻辑地址：47292, 物理地址：29884, 值：0
逻辑地址：21852, 物理地址：24156, 值：0
逻辑地址：5281, 物理地址：15265, 值：0
逻辑地址：45912, 物理地址：51032, 值：0
逻辑地址：32532, 物理地址：9492, 值：0
逻辑地址：63067, 物理地址：22107, 值：-106
逻辑地址：41683, 物理地址：41939, 值：-76
逻辑地址：20981, 物理地址：39157, 值：0
逻辑地址：33881, 物理地址：42073, 值：0
逻辑地址：41785, 物理地址：38713, 值：0
逻辑地址：4580, 物理地址：58852, 值：0
逻辑地址：41389, 物理地址：25005, 值：0
逻辑地址：28572, 物理地址：28060, 值：0
逻辑地址：782, 物理地址：7950, 值：0
逻辑地址：30273, 物理地址：58945, 值：0
逻辑地址：62267, 物理地址：23867, 值：-50
逻辑地址：17922, 物理地址：18690, 值：17
逻辑地址：63238, 物理地址：16902, 值：61
逻辑地址：3308, 物理地址：40428, 值：0
逻辑地址：26545, 物理地址：24497, 值：0
逻辑地址：44395, 物理地址：44907, 值：90
逻辑地址：39120, 物理地址：4048, 值：0
逻辑地址：21706, 物理地址：52426, 值：21
逻辑地址：7144, 物理地址：26600, 值：0
逻辑地址：30244, 物理地址：58916, 值：0
逻辑地址：3725, 物理地址：10125, 值：0
逻辑地址：54632, 物理地址：48744, 值：0
逻辑地址：30574, 物理地址：16238, 值：29
逻辑地址：8473, 物理地址：19993, 值：0
逻辑地址：12386, 物理地址：45154, 值：12
逻辑地址：41114, 物理地址：8858, 值：40
逻辑地址：57930, 物理地址：3146, 值：56
逻辑地址：15341, 物理地址：32493, 值：0
逻辑地址：15598, 物理地址：31982, 值：15
逻辑地址：59922, 物理地址：10514, 值：58
逻辑地址：18226, 物理地址：2354, 值：17
逻辑地址：48162, 物理地址：17698, 值：47
逻辑地址：41250, 物理地址：24866, 值：40
逻辑地址：1512, 物理地址：51688, 值：0
逻辑地址：2546, 物理地址：4850, 值：2
逻辑地址：41682, 物理地址：41938, 值：40
逻辑地址：322, 物理地址：57154, 值：0
逻辑地址：880, 物理地址：8048, 值：0
逻辑地址：20891, 物理地址：39067, 值：102
逻辑地址：56604, 物理地址：13340, 值：0
逻辑地址：40166, 物理地址：1254, 值：39
逻辑地址：26791, 物理地址：42663, 值：41
逻辑地址：44560, 物理地址：11024, 值：0
逻辑地址：38698, 物理地址：46890, 值：37
逻辑地址：64127, 物理地址：4479, 值：-97
逻辑地址：15028, 物理地址：24756, 值：0
逻辑地址：38669, 物理地址：46861, 值：0
逻辑地址：45637, 物理地址：7749, 值：0
逻辑地址：43151, 物理地址：17551, 值：35
逻辑地址：9465, 物理地址：23033, 值：0
逻辑地址：2498, 物理地址：4802, 值：2
逻辑地址：13978, 物理地址：31386, 值：13
逻辑地址：16326, 物理地址：56006, 值：15
逻辑地址：51442, 物理地址：32754, 值：50
逻辑地址：34845, 物理地址：26653, 值：0
逻辑地址：63667, 物理地址：28339, 值：44
逻辑地址：39370, 物理地址：55754, 值：38
逻辑地址：55671, 物理地址：60023, 值：93
逻辑地址：64496, 物理地址：5104, 值：0
逻辑地址：7767, 物理地址：57943, 值：-107
逻辑地址：6283, 物理地址：7563, 值：34
逻辑地址：55884, 物理地址：34636, 值：0
逻辑地址：61103, 物理地址：6063, 值：-85
逻辑地址：10184, 物理地址：60360, 值：0
逻辑地址：39543, 物理地址：43383, 值：-99
逻辑地址：9555, 物理地址：59475, 值：84
逻辑地址：13963, 物理地址：31371, 值：-94
逻辑地址：58975, 物理地址：14943, 值：-105
逻辑地址：19537, 物理地址：22609, 值：0
逻辑地址：6101, 物理地址：9429, 值：0
逻辑地址：41421, 物理地址：25037, 值：0
逻辑地址：45502, 物理地址：46014, 值：44
逻辑地址：29328, 物理地址：37008, 值：0
逻辑地址：8149, 物理地址：34005, 值：0
逻辑地址：25450, 物理地址：60522, 值：24
逻辑地址：58944, 物理地址：14912, 值：0
逻辑地址：50666, 物理地址：18666, 值：49
逻辑地址：23084, 物理地址：35884, 值：0
逻辑地址：36468, 物理地址：14452, 值：0
逻辑地址：33645, 物理地址：60781, 值：0
逻辑地址：25002, 物理地址：52650, 值：24
逻辑地址：53715, 物理地址：979, 值：116
逻辑地址：60173, 物理地址：57613, 值：0
逻辑地址：46354, 物理地址：50194, 值：45
逻辑地址：4708, 物理地址：27748, 值：0
逻辑地址：28208, 物理地址：34864, 值：0
逻辑地址：58844, 物理地址：55260, 值：0
逻辑地址：22173, 物理地址：56733, 值：0
逻辑地址：8535, 物理地址：20055, 值：85
逻辑地址：42261, 物理地址：10773, 值：0
逻辑地址：29687, 物理地址：49655, 值：-3
逻辑地址：37799, 物理地址：29351, 值：-23
逻辑地址：22566, 物理地址：2854, 值：22
逻辑地址：62520, 物理地址：312, 值：0
逻辑地址：4098, 物理地址：50690, 值：4
逻辑地址：47999, 物理地址：25727, 值：-33
逻辑地址：49660, 物理地址：45564, 值：0
逻辑地址：37063, 物理地址：18375, 值：49
逻辑地址：41856, 物理地址：38784, 值：0
逻辑地址：5417, 物理地址：21545, 值：0
逻辑地址：48856, 物理地址：32984, 值：0
逻辑地址：10682, 物理地址：27578, 值：10
逻辑地址：22370, 物理地址：11362, 值：21
逻辑地址：63281, 物理地址：16945, 值：0
逻辑地址：62452, 物理地址：24052, 值：0
逻辑地址：50532, 物理地址：18532, 值：0
逻辑地址：9022, 物理地址：48190, 值：8
逻辑地址：59300, 物理地址：10404, 值：0
逻辑地址：58660, 物理地址：55076, 值：0
逻辑地址：56401, 物理地址：51281, 值：0
逻辑地址：8518, 物理地址：20038, 值：8
逻辑地址：63066, 物理地址：22106, 值：61
逻辑地址：63250, 物理地址：16914, 值：61
逻辑地址：48592, 物理地址：2000, 值：0
逻辑地址：28771, 物理地址：1379, 值：24
逻辑地址：37673, 物理地址：29225, 值：0
逻辑地址：60776, 物理地址：23656, 值：0
逻辑地址：56438, 物理地址：51318, 值：55
逻辑地址：60424, 物理地址：7176, 值：0
逻辑地址：39993, 物理地址：1081, 值：0
逻辑地址：56004, 物理地址：34756, 值：0
逻辑地址：59002, 物理地址：14970, 值：57
逻辑地址：33982, 物理地址：42174, 值：33
逻辑地址：25498, 物理地址：60570, 值：24
逻辑地址：57047, 物理地址：37591, 值：-75
逻辑地址：1401, 物理地址：51577, 值：0
逻辑地址：15130, 物理地址：32282, 值：14
逻辑地址：42960, 物理地址：19664, 值：0
逻辑地址：61827, 物理地址：22403, 值：96
逻辑地址：32442, 物理地址：7098, 值：31
逻辑地址：64304, 物理地址：4912, 值：0
逻辑地址：30273, 物理地址：58945, 值：0
逻辑地址：38082, 物理地址：37314, 值：37
逻辑地址：22404, 物理地址：11396, 值：0
逻辑地址：3808, 物理地址：10208, 值：0
逻辑地址：16883, 物理地址：48115, 值：124
逻辑地址：23111, 物理地址：35911, 值：-111
逻辑地址：62417, 物理地址：24017, 值：0
逻辑地址：60364, 物理地址：57804, 值：0
逻辑地址：4542, 物理地址：58814, 值：4
逻辑地址：14829, 物理地址：33517, 值：0
逻辑地址：44964, 物理地址：13220, 值：0
逻辑地址：33924, 物理地址：42116, 值：0
逻辑地址：2141, 物理地址：35165, 值：0
逻辑地址：19245, 物理地址：14125, 值：0
逻辑地址：47168, 物理地址：29760, 值：0
逻辑地址：24048, 物理地址：39664, 值：0
逻辑地址：1022, 物理地址：8190, 值：0
逻辑地址：23075, 物理地址：35875, 值：-120
逻辑地址：24888, 物理地址：52536, 值：0
逻辑地址：49247, 物理地址：8543, 值：23
逻辑地址：4900, 物理地址：13604, 值：0
逻辑地址：22656, 物理地址：2944, 值：0
逻辑地址：34117, 物理地址：60997, 值：0
逻辑地址：55555, 物理地址：59907, 值：64
逻辑地址：48947, 物理地址：50483, 值：-52
逻辑地址：59533, 物理地址：25997, 值：0
逻辑地址：21312, 物理地址：9024, 值：0
逻辑地址：21415, 物理地址：9127, 值：-23
逻辑地址：813, 物理地址：7981, 值：0
逻辑地址：19419, 物理地址：14299, 值：-10
逻辑地址：1999, 物理地址：33231, 值：-13
逻辑地址：20155, 物理地址：40635, 值：-82
逻辑地址：21521, 物理地址：52241, 值：0
逻辑地址：13670, 物理地址：53094, 值：13
逻辑地址：19289, 物理地址：14169, 值：0
逻辑地址：58483, 物理地址：15475, 值：28
逻辑地址：41318, 物理地址：24934, 值：40
逻辑地址：16151, 物理地址：55831, 值：-59
逻辑地址：13611, 物理地址：53035, 值：74
逻辑地址：21514, 物理地址：52234, 值：21
逻辑地址：13499, 物理地址：36283, 值：46
逻辑地址：45583, 物理地址：7695, 值：-125
逻辑地址：49013, 物理地址：50549, 值：0
逻辑地址：64843, 物理地址：2123, 值：82
逻辑地址：63485, 物理地址：17149, 值：0
逻辑地址：38697, 物理地址：46889, 值：0
逻辑地址：59188, 物理地址：10292, 值：0
逻辑地址：24593, 物理地址：38417, 值：0
逻辑地址：57641, 物理地址：61225, 值：0
逻辑地址：36524, 物理地址：14508, 值：0
逻辑地址：56980, 物理地址：37524, 值：0
逻辑地址：36810, 物理地址：35786, 值：35
逻辑地址：6096, 物理地址：9424, 值：0
逻辑地址：11070, 物理地址：39998, 值：10
逻辑地址：60124, 物理地址：10716, 值：0
逻辑地址：37576, 物理地址：21448, 值：0
逻辑地址：15096, 物理地址：24824, 值：0
逻辑地址：45247, 物理地址：49087, 值：47
逻辑地址：32783, 物理地址：4111, 值：3
逻辑地址：58390, 物理地址：15382, 值：57
逻辑地址：60873, 物理地址：23753, 值：0
逻辑地址：23719, 物理地址：54951, 值：41
逻辑地址：24385, 物理地址：1601, 值：0
逻辑地址：22307, 物理地址：11299, 值：-56
逻辑地址：17375, 物理地址：61663, 值：-9
逻辑地址：15990, 物理地址：21110, 值：15
逻辑地址：20526, 物理地址：56878, 值：20
逻辑地址：25904, 物理地址：36656, 值：0
逻辑地址：42224, 物理地址：46320, 值：0
逻辑地址：9311, 物理地址：22879, 值：23
逻辑地址：7862, 物理地址：58038, 值：7
逻辑地址：3835, 物理地址：10235, 值：-66
逻辑地址：30535, 物理地址：16199, 值：-47
逻辑地址：65179, 物理地址：48539, 值：-90
逻辑地址：57387, 物理地址：37931, 值：10
逻辑地址：63579, 物理地址：28251, 值：22
逻辑地址：4946, 物理地址：13650, 值：4
逻辑地址：9037, 物理地址：48205, 值：0
逻辑地址：61033, 物理地址：5993, 值：0
逻辑地址：55543, 物理地址：58359, 值：61
逻辑地址：50361, 物理地址：14009, 值：0
逻辑地址：6480, 物理地址：29008, 值：0
逻辑地址：14042, 物理地址：31450, 值：13
逻辑地址：21531, 物理地址：52251, 值：6
逻辑地址：39195, 物理地址：55579, 值：70
逻辑地址：37511, 物理地址：21383, 值：-95
逻辑地址：23696, 物理地址：54928, 值：0
逻辑地址：27440, 物理地址：15664, 值：0
逻辑地址：28201, 物理地址：34857, 值：0
逻辑地址：23072, 物理地址：35872, 值：0
逻辑地址：7814, 物理地址：57990, 值：7
逻辑地址：6552, 物理地址：29080, 值：0
逻辑地址：43637, 物理地址：12661, 值：0
逻辑地址：35113, 物理地址：39721, 值：0
逻辑地址：34890, 物理地址：26698, 值：34
逻辑地址：61297, 物理地址：42353, 值：0
逻辑地址：45633, 物理地址：7745, 值：0
逻辑地址：61431, 物理地址：42487, 值：-3
逻辑地址：46032, 物理地址：51152, 值：0
逻辑地址：18774, 物理地址：61782, 值：18
逻辑地址：62991, 物理地址：22031, 值：-125
逻辑地址：28059, 物理地址：3483, 值：102
逻辑地址：35229, 物理地址：39837, 值：0
逻辑地址：51230, 物理地址：32542, 值：50
逻辑地址：14405, 物理地址：5701, 值：0
逻辑地址：52242, 物理地址：46610, 值：51
逻辑地址：43153, 物理地址：17553, 值：0
逻辑地址：2709, 物理地址：53909, 值：0
逻辑地址：47963, 物理地址：25691, 值：-42
逻辑地址：36943, 物理地址：18255, 值：19
逻辑地址：54066, 物理地址：51762, 值：52
逻辑地址：10054, 物理地址：60230, 值：9
逻辑地址：43051, 物理地址：17451, 值：10
逻辑地址：11525, 物理地址：41477, 值：0
逻辑地址：17684, 物理地址：9748, 值：0
逻辑地址：41681, 物理地址：41937, 值：0
逻辑地址：27883, 物理地址：44267, 值：58
逻辑地址：56909, 物理地址：37453, 值：0
逻辑地址：45772, 物理地址：7884, 值：0
逻辑地址：27496, 物理地址：15720, 值：0
逻辑地址：46842, 物理地址：55546, 值：45
逻辑地址：38734, 物理地址：46926, 值：37
逻辑地址：28972, 物理地址：16428, 值：0
逻辑地址：59684, 物理地址：47396, 值：0
逻辑地址：11384, 物理地址：54392, 值：0
逻辑地址：21018, 物理地址：37658, 值：20
逻辑地址：2192, 物理地址：35216, 值：0
逻辑地址：18384, 物理地址：2512, 值：0
逻辑地址：13464, 物理地址：36248, 值：0
逻辑地址：31018, 物理地址：61994, 值：30
逻辑地址：62958, 物理地址：28654, 值：61
逻辑地址：30611, 物理地址：16275, 值：-28
逻辑地址：1913, 物理地址：33145, 值：0
逻辑地址：18904, 物理地址：61912, 值：0
逻辑地址：26773, 物理地址：42645, 值：0
逻辑地址：55491, 物理地址：58307, 值：48
逻辑地址：21899, 物理地址：24203, 值：98
逻辑地址：64413, 物理地址：5021, 值：0
逻辑地址：47134, 物理地址：29726, 值：46
逻辑地址：23172, 物理地址：35972, 值：0
逻辑地址：7262, 物理地址：43102, 值：7
逻辑地址：12705, 物理地址：31137, 值：0
逻辑地址：7522, 物理地址：6242, 值：7
逻辑地址：58815, 物理地址：55231, 值：111
逻辑地址：34916, 物理地址：26724, 值：0
逻辑地址：3802, 物理地址：10202, 值：3
逻辑地址：58008, 物理地址：3224, 值：0
逻辑地址：1239, 物理地址：40919, 值：53
逻辑地址：63947, 物理地址：21963, 值：114
逻辑地址：381, 物理地址：57213, 值：0
逻辑地址：60734, 物理地址：23614, 值：59
逻辑地址：48769, 物理地址：32897, 值：0
逻辑地址：41938, 物理地址：38866, 值：40
逻辑地址：38025, 物理地址：37257, 值：0
逻辑地址：55099, 物理地址：5179, 值：-50
逻辑地址：56691, 物理地址：13427, 值：92
逻辑地址：39530, 物理地址：43370, 值：38
逻辑地址：59003, 物理地址：14971, 值：-98
逻辑地址：6029, 物理地址：9357, 值：0
逻辑地址：20920, 物理地址：39096, 值：0
逻辑地址：8077, 物理地址：33933, 值：0
逻辑地址：42633, 物理地址：20873, 值：0
逻辑地址：17443, 物理地址：40995, 值：8
逻辑地址：53570, 物理地址：834, 值：52
逻辑地址：22833, 物理地址：52785, 值：0
逻辑地址：3782, 物理地址：10182, 值：3
逻辑地址：47758, 物理地址：56462, 值：46
逻辑地址：22136, 物理地址：56696, 值：0
逻辑地址：22427, 物理地址：11419, 值：-26
逻辑地址：23867, 物理地址：39483, 值：78
逻辑地址：59968, 物理地址：10560, 值：0
逻辑地址：62166, 物理地址：62422, 值：60
逻辑地址：6972, 物理地址：26428, 值：0
逻辑地址：63684, 物理地址：28356, 值：0
逻辑地址：46388, 物理地址：50228, 值：0
逻辑地址：41942, 物理地址：38870, 值：40
逻辑地址：36524, 物理地址：14508, 值：0
逻辑地址：9323, 物理地址：22891, 值：26
逻辑地址：31114, 物理地址：62090, 值：30
逻辑地址：22345, 物理地址：11337, 值：0
逻辑地址：46463, 物理地址：50303, 值：95
逻辑地址：54671, 物理地址：48783, 值：99
逻辑地址：9214, 物理地址：48382, 值：8
逻辑地址：7257, 物理地址：43097, 值：0
逻辑地址：33150, 物理地址：53630, 值：32
逻辑地址：41565, 物理地址：41821, 值：0
逻辑地址：26214, 物理地址：49254, 值：25
逻辑地址：3595, 物理地址：9995, 值：-126
逻辑地址：17932, 物理地址：18700, 值：0
逻辑地址：34660, 物理地址：18020, 值：0
逻辑地址：51961, 物理地址：27385, 值：0
逻辑地址：58634, 物理地址：55050, 值：57
逻辑地址：57990, 物理地址：3206, 值：56
逻辑地址：28848, 物理地址：1456, 值：0
逻辑地址：49920, 物理地址：59136, 值：0
逻辑地址：18351, 物理地址：2479, 值：-21
逻辑地址：53669, 物理地址：933, 值：0
逻辑地址：33996, 物理地址：42188, 值：0
逻辑地址：6741, 物理地址：6741, 值：0
逻辑地址：64098, 物理地址：4450, 值：62
逻辑地址：606, 物理地址：17246, 值：0
逻辑地址：27383, 物理地址：28919, 值：-67
逻辑地址：63140, 物理地址：22180, 值：0
逻辑地址：32228, 物理地址：49892, 值：0
逻辑地址：63437, 物理地址：17101, 值：0
逻辑地址：29085, 物理地址：16541, 值：0
逻辑地址：65080, 物理地址：48440, 值：0
逻辑地址：38753, 物理地址：46945, 值：0
逻辑地址：16041, 物理地址：21161, 值：0
逻辑地址：9041, 物理地址：48209, 值：0
逻辑地址：42090, 物理地址：46186, 值：41
逻辑地址：46388, 物理地址：50228, 值：0
逻辑地址：63650, 物理地址：28322, 值：62
逻辑地址：36636, 物理地址：35612, 值：0
逻辑地址：21947, 物理地址：24251, 值：110
逻辑地址：19833, 物理地址：36473, 值：0
逻辑地址：36464, 物理地址：14448, 值：0
逻辑地址：8541, 物理地址：20061, 值：0
逻辑地址：12712, 物理地址：31144, 值：0
逻辑地址：48955, 物理地址：50491, 值：-50
逻辑地址：39206, 物理地址：55590, 值：38
逻辑地址：15578, 物理地址：31962, 值：15
逻辑地址：49205, 物理地址：8501, 值：0
逻辑地址：7731, 物理地址：57907, 值：-116
逻辑地址：43046, 物理地址：17446, 值：42
逻辑地址：60498, 物理地址：7250, 值：59
逻辑地址：9237, 物理地址：22805, 值：0
逻辑地址：47706, 物理地址：56410, 值：46
逻辑地址：43973, 物理地址：57541, 值：0
逻辑地址：42008, 物理地址：46104, 值：0
逻辑地址：27460, 物理地址：15684, 值：0
逻辑地址：24999, 物理地址：52647, 值：105
逻辑地址：51933, 物理地址：27357, 值：0
逻辑地址：34070, 物理地址：60950, 值：33
逻辑地址：65155, 物理地址：48515, 值：-96
逻辑地址：59955, 物理地址：10547, 值：-116
逻辑地址：9277, 物理地址：22845, 值：0
逻辑地址：20420, 物理地址：16836, 值：0
逻辑地址：44860, 物理地址：13116, 值：0
逻辑地址：50992, 物理地址：42800, 值：0
逻辑地址：10583, 物理地址：27479, 值：85
逻辑地址：57751, 物理地址：61335, 值：101
逻辑地址：23195, 物理地址：35995, 值：-90
逻辑地址：27227, 物理地址：28763, 值：-106
逻辑地址：42816, 物理地址：19520, 值：0
逻辑地址：58219, 物理地址：34155, 值：-38
逻辑地址：37606, 物理地址：21478, 值：36
逻辑地址：18426, 物理地址：2554, 值：17
逻辑地址：21238, 物理地址：37878, 值：20
逻辑地址：11983, 物理地址：59855, 值：-77
逻辑地址：48394, 物理地址：1802, 值：47
逻辑地址：11036, 物理地址：39964, 值：0
逻辑地址：30557, 物理地址：16221, 值：0
逻辑地址：23453, 物理地址：20637, 值：0
逻辑地址：49847, 物理地址：31671, 值：-83
逻辑地址：30032, 物理地址：592, 值：0
逻辑地址：48065, 物理地址：25793, 值：0
逻辑地址：6957, 物理地址：26413, 值：0
逻辑地址：2301, 物理地址：35325, 值：0
逻辑地址：7736, 物理地址：57912, 值：0
逻辑地址：31260, 物理地址：23324, 值：0
逻辑地址：17071, 物理地址：175, 值：-85
逻辑地址：8940, 物理地址：46572, 值：0
逻辑地址：9929, 物理地址：44745, 值：0
逻辑地址：45563, 物理地址：46075, 值：126
逻辑地址：12107, 物理地址：2635, 值：-46

统计信息：
总共处理的地址数: 1000
缺页错误数: 244
缺页错误率: 24.40%
TLB命中数: 54
TLB命中率: 5.40%
